"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5453","validateContactToOwner","CombinedSuite","Thu May 08 11:18:06 EEST 2025","passed","Thu May 08 11:18:12 EEST 2025","Tests.ContacUsTest","Regular TestNG Tests","Tests.ContacUsTest","validateContactToOwner"
"","2291","validateAddProductToCart","CombinedSuite","Thu May 08 11:16:41 EEST 2025","passed","Thu May 08 11:16:43 EEST 2025","Tests.AddToCartTest","Regular TestNG Tests","Tests.AddToCartTest","validateAddProductToCart"
"","7613","Validate That User Can Login With Valid Data","","Thu May 08 11:15:47 EEST 2025","passed","Thu May 08 11:15:55 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","2383","validateRegisterwithConfirmEmptyField","CombinedSuite","Thu May 08 11:16:55 EEST 2025","passed","Thu May 08 11:16:57 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithConfirmEmptyField"
"","5674","Validate That User Can Login With Valid Data","","Thu May 08 11:16:08 EEST 2025","passed","Thu May 08 11:16:14 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","10871","Validate That User Can Login With Valid Data","","Thu May 08 11:15:36 EEST 2025","passed","Thu May 08 11:15:47 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","2255","validateRegisterwithInvalidLastname","CombinedSuite","Thu May 08 11:17:13 EEST 2025","failed","Thu May 08 11:17:15 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithInvalidLastname"
"","8082","validateAddProductToCart","CombinedSuite","Thu May 08 11:17:49 EEST 2025","passed","Thu May 08 11:17:57 EEST 2025","Tests.AddToWishList","Regular TestNG Tests","Tests.AddToWishList","validateAddProductToCart"
"","8883","validateAddMoreProductToCart","CombinedSuite","Thu May 08 11:17:39 EEST 2025","passed","Thu May 08 11:17:48 EEST 2025","Tests.AddToWishList","Regular TestNG Tests","Tests.AddToWishList","validateAddMoreProductToCart"
"","5864","Validate That User Can Login With Valid Data","","Thu May 08 11:16:02 EEST 2025","passed","Thu May 08 11:16:08 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","2187","validateContactToOwnerWithInvalidEnqiry","CombinedSuite","Thu May 08 11:18:18 EEST 2025","passed","Thu May 08 11:18:20 EEST 2025","Tests.ContacUsTest","Regular TestNG Tests","Tests.ContacUsTest","validateContactToOwnerWithInvalidEnqiry"
"","3716","validateContactToOwnerWithInvalidEmail","CombinedSuite","Thu May 08 11:18:13 EEST 2025","passed","Thu May 08 11:18:17 EEST 2025","Tests.ContacUsTest","Regular TestNG Tests","Tests.ContacUsTest","validateContactToOwnerWithInvalidEmail"
"","1833","validateRegisterwithTelephoneEmptyField","CombinedSuite","Thu May 08 11:17:29 EEST 2025","passed","Thu May 08 11:17:31 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithTelephoneEmptyField"
"","1557","validateRegisterwithInvalidEmail","CombinedSuite","Thu May 08 11:17:06 EEST 2025","passed","Thu May 08 11:17:08 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithInvalidEmail"
"","5670","Validate That User Can Login With Valid Data","","Thu May 08 11:16:19 EEST 2025","passed","Thu May 08 11:16:25 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","1867","validateRegisterwithInvalidConfirmPass","CombinedSuite","Thu May 08 11:17:04 EEST 2025","passed","Thu May 08 11:17:06 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithInvalidConfirmPass"
"","1935","validateRegisterwithRepeatedEmail","CombinedSuite","Thu May 08 11:17:27 EEST 2025","passed","Thu May 08 11:17:29 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithRepeatedEmail"
"","5357","Validate That User Can Login With Valid Data","","Thu May 08 11:16:14 EEST 2025","passed","Thu May 08 11:16:19 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","3518","validateAddMoreProductToCart","CombinedSuite","Thu May 08 11:16:37 EEST 2025","passed","Thu May 08 11:16:41 EEST 2025","Tests.AddToCartTest","Regular TestNG Tests","Tests.AddToCartTest","validateAddMoreProductToCart"
"","7806","Validate That User Can Login With Valid Data","","Thu May 08 11:15:55 EEST 2025","passed","Thu May 08 11:16:02 EEST 2025","","Login Functionality","Validate That User Can Login With Valid Data",""
"","1763","validateRegisterwithoutPrivacyCheck","CombinedSuite","Thu May 08 11:17:31 EEST 2025","passed","Thu May 08 11:17:33 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithoutPrivacyCheck"
"","2633","validateRegisterwithEmailEmptyField","CombinedSuite","Thu May 08 11:16:58 EEST 2025","passed","Thu May 08 11:17:01 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithEmailEmptyField"
"","2381","validateRegisterwithFirstNameEmptyField","CombinedSuite","Thu May 08 11:17:01 EEST 2025","passed","Thu May 08 11:17:04 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithFirstNameEmptyField"
"","2116","validateRegisterwithInvalidFirstname","CombinedSuite","Thu May 08 11:17:08 EEST 2025","failed","Thu May 08 11:17:11 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithInvalidFirstname"
"","1714","validateRegisterwithPasswordEmptyField","CombinedSuite","Thu May 08 11:17:25 EEST 2025","passed","Thu May 08 11:17:27 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithPasswordEmptyField"
"","2509","validateRegisterwithInvalidTelephoneNumber","CombinedSuite","Thu May 08 11:17:17 EEST 2025","failed","Thu May 08 11:17:20 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithInvalidTelephoneNumber"
"","3856","validateAddAndDeletProductToCart","CombinedSuite","Thu May 08 11:16:33 EEST 2025","passed","Thu May 08 11:16:37 EEST 2025","Tests.AddToCartTest","Regular TestNG Tests","Tests.AddToCartTest","validateAddAndDeletProductToCart"
"","3062","validateRegisterNewUser","CombinedSuite","Thu May 08 11:16:49 EEST 2025","passed","Thu May 08 11:16:52 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterNewUser"
"","1681","validateRegisterwithLastNameEmptyField","CombinedSuite","Thu May 08 11:17:23 EEST 2025","passed","Thu May 08 11:17:24 EEST 2025","Tests.RegisterTest","Regular TestNG Tests","Tests.RegisterTest","validateRegisterwithLastNameEmptyField"
